Nombre de Proyecto/Programa,Agencia financiera,Contador de proyectos,1999,1999_2,2000,2000_2,2001,2001_2,2002,2002_2,2003,2003_2,2004,2004_2,2005,2005_2,2006,2006_2,2007,2007_2,2008,2008_2,2009,2009_2,2010,2010_2,2011,2011_2,2012,2012_2,2013,2013_2,2014,2014_2,Total,Total_2
,,,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales
  Proyectos Despacho Primera Dama,Gobierno de Taiwan,0,,,,,,,,,,,,,,,,,,,,,,,,,355000.0,355000.0,,,,,,,355000.0,355000.0
  Misión Técnica Taiwan,Gobierno de Taiwan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2744338.27,,,,,,2744338.27,
  Proyectos Embajada de Taiwan,Gobierno de Taiwan,0,,,,,,,,,,,,,,,,,,,,,,,,,350000.0,350000.0,,,,,,,350000.0,350000.0
  Traspaso de Gobiernos Locales,Cooperación Suiza para el Desarrollo y la Cooperación,0,,,,,,,,,,,,,,,,,,,,,,,476000.0,465459.0,,10541.0,,,,,,,476000.0,476000.0
  Mejora de la calidad educativa en la población afrodescendiente de Honduras [2010],Organización de Estados Iberoamericanos,0,,,,,,,,,,,,,,,,,,,,,,,131371.519,131371.519,,,,,,,,,131371.519,131371.519
  Mejora de la calidad educativa en la población afrodescendiente de Honduras [2011],Organización de Estados Iberoamericanos,0,,,,,,,,,,,,,,,,,,,,,,,,,131578.95,131578.95,,,,,,,131578.95,131578.95
  Fortalecimiento del Régimen Municipal y el Desarrollo Local en Honduras,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,1013692.4,1013692.4,,,,,,,,,1013692.4,1013692.4
  Desarrollo Pesquero Golfo Fonseca Fase IV,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,143752.0,142839.0,,,,-67732.0,,,,,,,,,143752.0,75107.0
  Alfabetización y Educación Básica de Jóvenes y Adultos en Honduras ALFAZUCAR-ALFAPALMA [2010],Organización de Estados Iberoamericanos,0,,,,,,,,,,,,,,,,,,,,,,,656857.59,656857.59,,,,,,,,,656857.59,656857.59
  Transferencia al Buró Global y Otros [2006],Agencia de los Estados Unidos para el Desarrollo Internacional,0,,,,,,,,,,,,,,,6060955.0,,,6060955.0,,,,,,,,,,,,,,,6060955.0,6060955.0
  Transferencia al Buró Global y Otros [2008],Agencia de los Estados Unidos para el Desarrollo Internacional,0,,,,,,,,,,,,,,,,,8763798.0,,,8763798.0,,,,,,,,,,,,,8763798.0,8763798.0
  Transferencia al Buró Global y Otros [2010],Agencia de los Estados Unidos para el Desarrollo Internacional,0,,,,,,,,,,,,,,,,,,,,,4675000.0,,,4675000.0,,,,,,,,,4675000.0,4675000.0
  Transferencia al Buró Gobal y Otros [2012],Agencia de los Estados Unidos para el Desarrollo Internacional,0,,,,,,,,,,,,,,,,,,,,,,,,,,,820000.0,820000.0,,,,,820000.0,820000.0
  Invirtiendo en la Gente: Un Pueblo más Saludable y con Mejor Educación. (Actividad de Educación),Agencia de los Estados Unidos para el Desarrollo Internacional,0,,,,,,,,,45056376.0,10454150.0,,,,,,5261850.0,,8131292.0,,8718700.0,,6392608.0,,2695250.0,,3001705.0,,400821.0,,,,,45056376.0,45056376.0
  Invirtiendo en la Gente: Un Pueblo más Saludable y con Mejor Educación (Actividad de Salud),Agencia de los Estados Unidos para el Desarrollo Internacional,0,,,,,,,,,,,,8050010.0,,,,6624990.0,,6491116.0,,5098518.0,,4880166.0,36373410.0,1154310.0,,2498470.0,,1575830.0,,,,,36373410.0,36373410.0
  Proyecto Piloto Integral de Vivienda y Renovación Urbanistica,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,,,192000.0,,,,,,,,,,,,,,192000.0,
"  Consultoría de la segunda fase del programa ""Reposición de Viviendas para el Combate al Mal de CHAGAS y otros riesgos de Salud""",Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,,,,,24000.0,,,24000.0,,,,,,,,,24000.0,24000.0
  Apoyo a Paises Fundadores del BCIE [2008],Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,1000000.0,
  Asistencia Sueca para las Actividades Complementarias del Proyecto de Asistencia Técnica de Apoyo de la Reducción a la Pobreza [P083851],Banco Mundial,0,,,,,,,,,,,,,,,,,,,4623000.0,1600282.95,,,,2209777.05,,812940.0,,,,,,,4623000.0,4623000.0
  Apoyo a la Red de Protección Social y Planeación Estratégica,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,150000.0,89706.0,,,,,,,,32794.0,,27500.0,,,,,,,150000.0,150000.0
  Apoyo a la Infraestructura Social Básica en el Municipio de la Mancomunidad de MAMUCA Fase II,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,328675.0,,,,11840.0,328675.0,,,,,340515.0,328675.0
  Plan de Acción para Países C y D [HO-T1160],Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,361500.0,140818.0,,220664.0,,,,,361500.0,361482.0
